max_depth,n_estimators,learning_rate,subsample,min_child_weight,loss
19,449,0.151676344,0.491542338,6,0.29375
15,296,0.732384001,0.374027063,6,0.29375
6,417,0.048031449,0.50050136,8,0.29375
10,344,0.71049917,0.878549872,8,0.29375
16,186,0.969805991,0.992898971,9,0.29375
5,208,0.08343904,0.539262947,9,0.29375
10,450,0.854927507,0.912426132,9,0.29375
13,199,0.952076706,0.832901159,9,0.29375
8,386,0.784365707,0.95373189,9,0.29375
6,417,0.740416084,0.764966935,9,0.29375
5,245,0.244747434,0.718844321,10,0.29375
8,242,0.179391554,0.659000959,10,0.29375
7,410,0.692714194,0.980376507,1,0.3
6,168,0.135002465,0.255012832,2,0.3
5,236,0.876130583,0.460237519,3,0.3
16,203,0.385101281,0.327982369,3,0.3
18,408,0.605731166,0.314750939,4,0.3
8,440,0.053573774,0.06471082,4,0.3
11,341,0.24310709,0.579947097,4,0.3
6,288,0.372976346,0.428417797,4,0.3
19,233,0.879609935,0.371503438,5,0.3
7,323,0.602657785,0.232067357,5,0.3
10,233,0.721857785,0.625332613,5,0.3
8,340,0.294323081,0.727514124,6,0.3
17,300,0.207042255,0.588740615,7,0.3
15,166,0.883864475,0.649162628,7,0.3
12,153,0.553867907,0.374003622,7,0.3
14,336,0.187034305,0.976787283,8,0.3
9,308,0.2632298,0.798811515,9,0.3
11,448,0.727648458,0.473227442,9,0.3
7,370,0.091652475,0.723752145,10,0.3
13,365,0.192491917,0.629553284,10,0.3
10,171,0.532473214,0.652442246,1,0.30625
19,229,0.767345409,0.971639401,2,0.30625
5,336,0.268300549,0.700647794,3,0.30625
18,296,0.735076866,0.976303272,3,0.30625
9,355,0.353742495,0.776599193,3,0.30625
7,354,0.85333239,0.592004681,4,0.30625
20,256,0.565973564,0.589306408,4,0.30625
10,220,0.252323383,0.733049159,5,0.30625
20,339,0.183559986,0.247630334,5,0.30625
9,417,0.456167658,0.993608729,5,0.30625
19,427,0.164633888,0.319641324,5,0.30625
6,446,0.936431127,0.793881474,5,0.30625
15,205,0.482407004,0.569193077,6,0.30625
5,375,0.722069785,0.427586483,6,0.30625
10,210,0.385585115,0.499301951,7,0.30625
10,182,0.014140449,0.10309694,8,0.30625
19,181,0.696385527,0.40201386,8,0.30625
15,323,0.590913177,0.421697356,8,0.30625
6,351,0.376352949,0.413407047,8,0.30625
17,357,0.09019776,0.163661865,9,0.30625
19,212,0.795480445,0.358171397,9,0.30625
19,391,0.57591469,0.766517829,9,0.30625
19,169,0.842501828,0.2912788,9,0.30625
18,226,0.926289103,0.650993596,10,0.30625
12,425,0.702360402,0.358631312,1,0.3125
7,168,0.5668487,0.395772765,1,0.3125
10,289,0.824001373,0.528696891,2,0.3125
19,371,0.561022898,0.611409415,2,0.3125
6,353,0.700810304,0.509850394,2,0.3125
16,272,0.781564655,0.253871472,3,0.3125
6,194,0.499630125,0.565053486,3,0.3125
12,405,0.791965335,0.315438197,3,0.3125
20,282,0.509676771,0.307407323,3,0.3125
12,293,0.188858228,0.271335531,4,0.3125
5,401,0.78323498,0.674597261,4,0.3125
17,186,0.462710709,0.835593462,5,0.3125
12,170,0.458731032,0.356033073,5,0.3125
11,194,0.286772796,0.56618845,5,0.3125
15,199,0.880024671,0.960346257,6,0.3125
9,264,0.910466304,0.925802911,6,0.3125
17,205,0.060166055,0.150323304,6,0.3125
20,185,0.610518675,0.645324677,8,0.3125
7,164,0.73055991,0.75280669,8,0.3125
16,318,0.680926003,0.392501242,8,0.3125
15,224,0.213932123,0.177030812,9,0.3125
19,408,0.624076177,0.756752379,10,0.3125
5,421,0.343676571,0.98629134,10,0.3125
7,436,0.953074391,0.316470559,2,0.31875
13,174,0.913031856,0.632985699,4,0.31875
17,335,0.625225125,0.314782647,4,0.31875
15,306,0.340301325,0.709756057,6,0.31875
13,360,0.279939316,0.261770341,6,0.31875
11,298,0.261034069,0.130502192,6,0.31875
10,419,0.985993081,0.647707746,8,0.31875
13,340,0.801638008,0.506353228,8,0.31875
5,191,0.15575135,0.426890357,8,0.31875
14,410,0.923125571,0.829466769,9,0.31875
6,409,0.988214509,0.957140776,10,0.31875
16,330,0.497493509,0.163223316,1,0.325
20,450,0.494792985,0.226055669,3,0.325
16,347,0.33882306,0.246570699,4,0.325
7,366,0.444767447,0.164487562,5,0.325
20,317,0.494648338,0.780457169,6,0.325
5,168,0.387627249,0.111516097,6,0.325
19,304,0.413003756,0.816544463,7,0.325
20,193,0.732154111,0.60147679,7,0.325
9,251,0.70679159,0.501873466,8,0.325
11,431,0.514802101,0.277314365,9,0.325
5,264,0.02162198,0.102311873,9,0.325
20,313,0.651201438,0.548976946,10,0.325
15,247,0.258523296,0.091974107,10,0.325
7,238,0.482610609,0.332543251,10,0.325
12,215,0.528485472,0.7770154,1,0.33125
6,315,0.933021174,0.362036788,2,0.33125
16,330,0.871993476,0.790209372,3,0.33125
20,427,0.900479962,0.553950445,3,0.33125
8,244,0.59113868,0.426778223,4,0.33125
18,272,0.626064356,0.387854457,4,0.33125
6,293,0.709039448,0.073756119,5,0.33125
10,337,0.831338959,0.399784815,5,0.33125
18,205,0.361907727,0.222702976,7,0.33125
18,171,0.30317221,0.534549177,7,0.33125
5,316,0.524563776,0.501057334,10,0.33125
10,401,0.664333224,0.259906134,2,0.3375
6,392,0.106102364,0.116232729,3,0.3375
6,429,0.856232819,0.238409025,5,0.3375
12,253,0.414932147,0.225089103,7,0.3375
7,279,0.414208125,0.592607585,8,0.3375
9,342,0.943761809,0.43950381,8,0.3375
11,271,0.289557653,0.301770114,10,0.3375
