C,kernel,gamma,decision_function_shape,loss
0.0931202620267868,rbf,1.2326146364212036,ovr,55.93749999999999
0.6381150484085083,rbf,1.9044491052627563,ovr,55.93749999999999
0.708321213722229,rbf,2.6640470027923584,ovr,55.93749999999999
0.05663975550969336,3.0,1.7751284730697012,0.0,55.93749999999999
0.02890137955546379,rbf,2.5388691425323486,ovr,55.93749999999999
0.17449124157428741,rbf,1.0484999418258667,ovr,55.93749999999999
0.2809300154060016,3.0,2.2943052220602733,0.0,55.93749999999999
0.4538871645927429,rbf,2.540438413619995,ovr,55.93749999999999
0.617082417011261,rbf,2.6992926597595215,ovr,55.93749999999999
0.1250309944152832,rbf,2.413182497024536,ovr,55.93749999999999
0.03272510692477226,rbf,1.3163751363754272,ovr,55.93749999999999
0.11037935625223094,3.0,1.2221984144069644,0.0,55.93749999999999
0.3799712450698822,3.0,2.8262356442728076,0.0,55.93749999999999
0.02290843054652214,rbf,1.3926650285720825,ovr,55.93749999999999
0.7449336853687809,3.0,2.2781011784427303,0.0,55.93749999999999
0.8875739432517129,3.0,1.3926540576524662,0.0,55.93749999999999
0.02219618484377861,rbf,1.367979645729065,ovr,55.93749999999999
0.21355406939983368,rbf,1.0882625579833984,ovr,55.93749999999999
0.10578270256519318,rbf,1.2119758129119873,ovr,55.93749999999999
0.07441990077495575,rbf,1.4290302991867065,ovr,55.93749999999999
0.12913580238819122,rbf,1.2361663579940796,ovr,55.93749999999999
0.0052720122039318085,rbf,1.8541359901428223,ovr,55.93749999999999
0.9109718799591064,rbf,1.5823622941970825,ovr,55.93749999999999
0.6212567687034607,rbf,2.22131609916687,ovr,55.93749999999999
0.0353079081609467,3.0,2.590674517885546,0.0,55.93749999999999
0.143833190202713,rbf,1.06649649143219,ovr,55.93749999999999
0.010778170078992844,rbf,1.3299643993377686,ovr,55.93749999999999
0.08059561438597108,3.0,1.4780086673400978,0.0,55.93749999999999
0.6531601067352848,3.0,2.343922061883435,0.0,55.93749999999999
0.01874053930145682,3.0,1.9091065497582624,0.0,55.93749999999999
