lr,numOfL1,numOfL2,keep_prob,batch_size,loss
0.16035185530065427,2.0,11.0,0.9996898341139692,23.0,2.681335422617312
0.2466989961229955,46.0,48.0,0.9987635539166326,27.0,2.811488926606355
0.15140339732170105,24.46584129333496,13.873579025268555,0.9983344674110413,21.347192764282227,2.9753552398691028
0.1846860647201538,11.358741760253906,29.614835739135742,0.9775390625,15.369951248168945,3.049268479642875
0.18776102384289026,17.0,33.0,0.9666650546504549,16.0,3.6394347950487784
0.16121473302222628,51.0,9.0,0.9909399504023405,23.0,3.8041453861850134
0.17953396170275976,46.0,57.0,0.9990772629578479,25.0,4.946480389011823
0.18903424583846634,17.0,33.0,0.9599799436492471,16.0,6.005941754478087
0.17673447314622082,46.0,9.0,0.9993743722387137,16.0,6.162706353220439
0.1614882138140202,2.0,9.0,0.849480412855779,23.0,6.331908184719508
0.3187134452057101,45.0,42.0,0.9837326092619029,20.0,6.379012393502882
0.16384458541870117,24.387990951538086,16.218360900878906,0.9245809316635132,21.92814064025879,6.85482923658866
0.232869952917099,21.953876495361328,30.508499145507812,0.926315426826477,24.658740997314453,6.925372639934738
0.08849194317272542,54.0,9.0,0.9951530347776079,23.0,7.002727098282918
0.1687116964485341,2.0,33.0,0.9996690912120876,11.0,7.115056878147286
0.24875837564468384,11.677719116210938,31.995954513549805,0.9155077338218689,28.185335159301758,7.201524317582233
0.197218120098114,16.049264907836914,32.85517501831055,0.9639162421226501,14.498760223388672,7.386197020039891
0.34012983511898065,12.0,35.0,0.9326813899636706,29.0,7.410185318352983
0.14658126084190629,37.0,95.0,0.9988396506762478,27.0,7.598581060419428
0.22943221126083418,84.0,34.0,0.9323119254084316,25.0,7.7140458886977274
0.240149587392807,67.226806640625,43.244415283203125,0.9808232188224792,24.537824630737305,7.75194459032416
0.2127649039030075,19.121681213378906,27.93679428100586,0.894393801689148,16.851787567138672,7.7796461007182
0.26106078489463275,2.0,73.0,0.980595101045344,12.0,7.923579544426294
0.13616827130317688,102.37149047851562,50.983154296875,0.9931493401527405,24.506620407104492,8.034973839831592
0.07307981699705124,97.82643127441406,26.881969451904297,0.905218780040741,19.790739059448242,8.132044360804258
0.15737837524352477,98.0,40.0,0.9997676464679904,3.0,8.227644674342194
0.24712296757705907,5.0,55.0,0.9706858101453495,12.0,8.26120289533971
0.1633574217557907,29.62834930419922,17.4384765625,0.9755586981773376,18.799833297729492,8.266959556190304
0.14498562314021232,2.0,9.0,0.921029172195637,23.0,8.311731820504978
0.22561313211917877,35.57972717285156,45.112327575683594,0.973834216594696,26.256080627441406,8.359579535723821
0.11714235366247117,77.0,39.0,0.7825691310299916,18.0,8.405719833116173
0.3724496877632808,6.0,97.0,0.9559133471049858,7.0,8.444816596071421
0.2333149343039227,17.0,35.0,0.873805417798556,15.0,8.741191838490149
0.08471056832420967,125.0,26.0,0.7725810496022332,23.0,8.813856068195907
0.18179862201213837,84.41423034667969,27.288944244384766,0.9166428446769714,22.28301239013672,9.109605096457418
0.45903619276142726,1.0,43.0,0.8813576019422816,27.0,9.14374364678521
0.44605243236599884,59.0,45.0,0.9791601488535606,24.0,9.23023140531175
0.2603082060813904,2.3188133239746094,60.6898193359375,0.9663139581680298,10.53519058227539,9.25792039593974
0.15050365990737824,119.0,42.0,0.9978025289147644,25.0,9.265939128248563
0.2089564607446141,118.0,38.0,0.9424866279485663,2.0,9.660708054512707
0.23488810658454895,34.32220458984375,42.19939041137695,0.9559552669525146,24.291309356689453,9.684699394389508
0.1366845680146884,64.0,33.0,0.9867457367634472,16.0,9.727835089377265
0.21202724030445833,70.0,23.0,0.9100514155555011,23.0,9.749430588478344
0.47159679226750545,6.0,19.0,0.7935547735808219,22.0,9.866538145988939
0.5708297755532596,50.0,5.0,0.6995713416401452,24.0,9.927758567449171
0.5171077893946116,67.0,28.0,0.42793793779324274,11.0,9.954078855727225
0.47476479061068355,90.0,54.0,0.7412694477485271,25.0,9.973202326588288
0.18695113062858582,32.28321075439453,33.16148376464844,0.969593346118927,13.383498191833496,9.977863338965799
0.22505999161978152,58.0,1.0,0.6384962992332126,23.0,9.98547367127491
0.13300944864749908,29.61103057861328,6.680139541625977,0.9996802806854248,23.633697509765625,9.987726480922486
0.35030637899620504,82.0,9.0,0.9675926871457001,4.0,9.98868672538542
0.26284091366305207,66.0,21.0,0.8636598509027477,9.0,9.998944060193287
0.14266100525856018,60.509376525878906,4.575469970703125,0.9967576265335083,22.143930435180664,10.000507882884065
0.336130385090156,114.0,24.0,0.9606109226091919,16.0,10.001164423839878
0.6448516634178325,61.0,10.0,0.7021590124588629,24.0,10.002463464122087
0.3448928868966372,44.0,7.0,0.9064465475583295,19.0,10.004888997896149
0.21687738225973324,104.0,25.0,0.5080775257439964,18.0,10.00562170561154
0.29784302991898903,54.0,2.0,0.9169264958508997,23.0,10.007896204024442
0.36395995016573024,4.0,27.0,0.6353528239474068,23.0,10.009750415265854
0.308169934911343,89.0,29.0,0.884322055301362,10.0,10.011626323763105
0.5774076200074283,50.0,5.0,0.531109648489483,24.0,10.012125487777446
0.13902734012455795,106.0,11.0,0.9766858998270495,6.0,10.012355187606625
0.26823719749839586,48.0,11.0,0.9177855690014364,23.0,10.013831430587768
0.2245701913729431,57.0,3.0,0.8898489523320161,16.0,10.015864586855368
0.6886871252388623,100.0,2.0,0.8398384235277082,11.0,10.016558636875498
0.19472730729379567,110.0,16.0,0.8714065314251423,17.0,10.019950775064515
0.44305180249851017,78.0,1.0,0.9999294245495932,28.0,10.023516311815026
0.6071317800250856,16.0,24.0,0.7173969363803453,22.0,10.03050002094441
0.16755067960968464,123.0,33.0,0.6600929999171613,30.0,10.031316501949384
0.4923513002988166,0.0,44.0,0.7662154108354987,16.0,10.034396758602222
0.3851714557028292,112.0,8.0,0.7365608731783525,6.0,10.048672135362636
0.45264434814453125,70.78971099853516,13.193841934204102,0.7353137135505676,21.445226669311523,10.052964946137482
0.33081014762553496,30.0,11.0,0.9314415040836068,19.0,10.054021467892046
0.2160368311256038,62.0,36.0,0.8973631655780074,16.0,10.062869113432383
0.20158303331245672,90.0,11.0,0.8859737423484898,13.0,10.081881877722548
0.25652279043826176,24.0,12.0,0.9743690144488422,23.0,10.086577381422057
0.248744202956033,25.0,32.0,0.8956420478568399,12.0,10.106517863564566
0.27295827865600586,92.07244873046875,43.15089797973633,0.7451849579811096,21.603591918945312,10.171546740097035
0.7718539262064911,47.0,20.0,0.7255336973607536,18.0,10.193039484642998
0.2611823321223737,27.0,6.0,0.5573210864953523,13.0,10.215589431796381
0.1673169583082199,33.89250946044922,18.519203186035156,0.9765905737876892,16.837860107421875,10.248248193042087
0.27984183304644994,113.0,36.0,0.855784655003854,27.0,10.292656314885962
0.6259748104425567,50.0,5.0,0.5892055995792768,5.0,10.346143215255596
0.670011722658792,68.0,0.0,0.5292364462075195,24.0,10.38287588220048
