sort_buffer_size,join_buffer_size,table_open_cache,thread_cache_size,query_cache_limit,max_allowed_packet,max_connect_errors,tmp_table_size,max_heap_table_size,innodb_autoextend_increment,innodb_buffer_pool_size,innodb_additional_mem_pool_size,innodb_log_buffer_size,QPS
2617,1075,353,70,1166,6715,108,97538,3785,29115,3980,2822,17652,7249.15
2217,602,931,64,2057,11278,882,106280,84031,57764,4021,5051,4736,8028.59
2734,762,536,117,1154,8053,1502,84129,27658,122649,1327,6677,4639,7834.78
3246,676,529,110,2855,14139,1966,29107,47527,268075,386,7361,20263,7504.3
2658,1315,1724,85,1923,2776,19,125252,69225,234202,1273,13486,7039,7742.6
2581,279,1734,99,1421,6546,91,84889,75604,354836,1282,1223,17337,6849.67
2657,1310,1226,114,1331,5887,1029,48768,111792,520788,481,15385,30850,7236.79
3893,840,1604,28,2941,8835,887,56970,15085,490898,1209,16715,16147,6991.95
1623,1222,680,65,1729,14006,323,17283,129354,111806,444,9525,21793,7679.14
2726,1959,1736,50,1965,10660,1607,106132,7345,41916,1876,9895,11486,7436.88
3336,354,1486,107,1722,13099,444,65032,38956,144387,3120,9637,8358,7459.17
2173,489,1732,94,1551,7036,291,108656,95999,121456,1334,10958,6540,7572.36
3355,1900,826,108,1994,3858,1089,57084,81024,466356,2787,12237,22769,7730.62
3096,1746,1443,112,2967,16034,1141,121822,66100,159657,3398,19232,32025,7575.9
2691,229,1073,92,2421,11830,1804,37218,106301,22320,773,3981,7492,7779.38
2228,449,1888,99,2241,16054,1508,95551,90123,454690,2385,15322,14992,7098.6
3207,391,343,77,1674,3400,1020,47080,124282,399812,897,12613,6631,7486.5
478,202,335,25,1455,7922,1939,124632,38614,358935,2032,12930,7595,6768
3751,1725,1475,11,1080,7878,836,69611,95265,480060,2988,12138,28231,7839.67
2783,1087,337,26,1351,5628,1632,13897,38605,235241,3832,12281,27881,7998.56
1947,757,1908,107,1778,14311,1143,58166,12730,434972,345,19226,28386,7275.9
1718,1536,1729,32,2974,8596,1678,129174,58912,33150,2518,7451,32149,7236.41
1332,1476,494,50,2546,4834,879,94633,108265,423897,648,4484,18852,7299.51
3781,1994,700,128,2665,2282,1986,76989,25465,136213,3294,8814,20899,7241.99
3047,462,458,13,1954,2588,1676,101653,12114,482848,1691,8877,12703,7483.22
1282,1166,186,26,1065,3023,1473,13756,105524,33272,1089,11698,8619,7361.04
3810,966,1291,104,1678,2917,1248,65949,129326,247518,3185,13473,19197,7498.94
936,461,1490,98,2287,9736,1262,65645,95106,114936,2103,18998,15415,6726.55
1279,226,1261,106,2075,5763,1244,36278,62804,199462,591,3097,19567,7125.97
3534,1147,1333,125,1291,4944,287,65749,79683,144914,539,6062,17488,6879.5
922,1951,893,84,1586,15618,1553,126815,80475,316047,2133,17658,23604,7335.21
1923,1615,1508,44,2000,6860,1606,80717,99080,324561,3218,10661,30351,7798.6
1875,1873,1081,101,2479,12256,285,89591,69118,255986,1692,4406,9465,7071.92
4084,1820,701,117,2816,5929,1997,117524,107715,293569,1857,14071,27101,7340.64
2727,269,989,92,1645,6728,1962,126718,118539,256056,2551,16011,28884,7267.41
3494,1156,1593,35,3014,6652,1930,119138,41985,116082,2047,13996,8000,7814.42
1499,1732,1489,26,2108,2968,824,130641,35808,275732,2175,1633,22700,7249.69
460,1650,1003,24,2990,12224,994,19550,79374,97616,921,14966,27047,7651.34
1010,1870,1270,80,1827,11572,378,116187,65643,388196,370,2511,25386,7242.98
3113,486,821,31,1416,14274,1563,59997,104484,202047,2598,17499,31056,7747.25
1384,930,1006,31,1719,2281,1269,19798,9316,180029,1731,16362,6548,6751.89
1070,1017,1951,28,2340,16064,1534,41554,59507,269523,2646,6992,29333,8112.15
2903,654,1229,89,1130,4814,1606,62372,29105,105801,4057,10787,21834,7775.21
2206,1034,1099,36,1223,4695,490,118334,32823,398130,386,19662,25382,7271.14
3656,1197,1765,94,1586,12748,1410,60603,28257,130064,3587,20149,9028,7064.75
2744,1869,298,17,2055,14051,285,76523,37692,195843,3902,16644,23475,7220.15
590,1373,980,37,1116,7639,233,10977,74923,452010,1971,15361,12738,7415.39
2044,1251,1875,29,2471,7278,22,123676,113619,351205,2148,14545,25422,7184.17
2935,1369,710,116,2954,12380,1451,45009,109052,203918,414,5811,28796,7380.71
3627,671,870,68,1128,10572,759,35571,73400,147112,3072,20031,15321,7369.12
3825,889,1763,12,1250,9871,1230,57396,70456,259113,3043,17021,18275,7438.57
1183,471,759,114,2719,14729,1028,28753,119276,403344,579,1481,20620,6950.79
3294,1777,1778,71,2228,9110,696,34423,83517,76677,1105,12536,28062,7540.85
3032,1734,751,38,1980,2837,266,64258,108836,502998,89,14371,4633,7592.76
2072,1178,144,116,2903,12537,748,105086,130037,368215,3463,15184,28457,7357.32
1483,913,886,51,1533,15360,1091,38271,127884,291695,269,3244,27639,7272.36
2094,1306,642,53,2754,15089,664,25578,55289,90235,1920,16622,28779,7103.66
2539,333,246,15,2028,3554,1473,21718,62221,85625,1200,16894,19459,7142.93
290,243,1021,22,2027,9092,753,104982,49407,357362,1916,7164,20561,7816.25
2627,693,309,62,2408,8507,1908,89275,74135,251989,3265,18041,25664,7378.22
796,1723,1733,54,2690,14402,702,50066,99419,351240,1396,17295,11242,7472.59
3584,1637,1501,16,1210,13460,1923,120635,50839,331664,1803,13268,15812,7344.52
1264,652,1181,58,2153,7718,885,120636,110498,445467,3979,11572,5335,7284.27
480,1098,2038,115,2318,11437,901,19440,68883,75764,3703,18169,5571,6600.29
1596,809,916,115,2623,8681,915,130174,61904,441263,2621,6785,24843,6796.66
1294,1004,1139,58,1634,3413,1728,113798,69533,412124,2796,2134,27613,7438.4
3433,1463,569,113,1573,12149,1152,115054,70284,49992,3045,13088,18436,6968.92
1275,1212,1816,116,1053,14143,1910,47099,49500,118978,3502,9220,14710,7381.85
1546,136,480,37,1665,7087,1078,88896,110610,385763,443,7831,29622,6782.03
2589,1337,492,70,2529,3850,1536,60098,22070,342598,1283,13616,26761,7270.77
2171,624,1908,82,1050,5561,573,34762,91972,84170,1501,2044,20556,6949.74
1374,1542,1375,117,1918,4438,472,120827,75467,90733,73,17732,11746,7172.95
1818,1727,299,37,1354,15561,119,79357,9929,279909,1431,17794,8247,8013.6
969,1057,1968,109,2217,13803,567,52933,4143,192856,3025,10664,14490,6694.9
1870,1329,1562,28,1524,10326,1233,99598,4411,448903,2863,7699,5934,7373.31
1702,1011,162,17,1684,13125,1099,18757,52044,263200,2802,3231,17685,7393.86
3500,601,1581,109,1696,3782,701,34331,48512,41353,1568,11003,30791,7664.3
1261,1881,744,32,1966,4654,1051,38641,13672,363298,3724,17166,28811,7926.36
2990,1049,372,56,2054,9023,1747,123565,44072,122996,884,13936,15085,6900.64
3233,1368,1610,26,1723,15359,868,58970,59516,232308,361,4747,23436,7501.12
2188,729,1467,28,2727,2964,1292,89733,92337,124703,1038,7428,28329,6507.56
3957,325,453,104,2268,8368,1708,33058,17333,304645,3633,12148,16082,7448.61
381,1311,1146,92,1819,10716,844,96648,80115,263405,2303,20466,31991,7549.24
2676,516,1711,13,1942,12973,697,11442,24819,153128,2516,17259,22263,7331.2
1669,1500,1857,97,1967,5035,1934,80174,26427,69428,2455,4668,17419,7250.56
2765,260,340,57,2241,6464,290,75182,46201,45340,1777,16204,9564,7626.85
2084,715,684,26,2552,12432,194,22412,119586,205716,1536,17864,22697,7709.92
2516,1128,1772,65,2699,9569,1382,116275,33500,142908,284,18849,19167,7880.82
4036,165,984,24,1990,15431,1004,42270,125586,326388,2220,16714,6149,7749.48
636,1185,1084,124,1813,2621,994,65533,58877,344227,3734,14795,15349,6887.97
2436,750,1842,101,2490,12701,1085,83389,123613,385198,2513,17131,7627,7866.64
2684,1311,1001,58,2284,4540,1971,34092,13452,360035,4063,19791,15730,7143.74
150,1544,1889,81,2112,3124,1692,16499,130483,279763,2070,18091,24964,7297.25
1154,178,688,32,1291,10113,685,65677,78958,30860,2388,16027,22708,7191.94
727,1735,1310,28,1228,11280,802,26003,5138,175204,2827,20087,20732,7621.46
3559,727,303,122,2313,9158,379,45737,18722,63249,465,5256,8051,7082.43
