num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,ack,T,1/T
4,22,76,20,19,9,29,11,53,57,snappy,1,20.77,0.048146365
15,19,92,4,6,19,24,34,24,1,snappy,1,27.76,0.036023055
8,3,59,9,9,19,29,31,28,49,none,1,30.33,0.032970656
2,13,84,7,2,17,16,18,63,77,snappy,1,16.63,0.060132291
9,3,3,12,10,2,25,36,33,46,none,1,29.3,0.034129693
2,24,48,7,10,6,15,15,62,74,none,1,27.52,0.036337209
5,16,46,6,6,10,26,32,55,81,lz4,1,28.14,0.035536603
9,21,35,20,12,19,3,11,39,92,gzip,1,11.98,0.083472454
14,19,89,4,5,8,8,39,62,58,snappy,1,26.17,0.038211693
5,11,72,8,10,19,28,7,25,13,none,1,27.77,0.036010083
5,5,74,11,9,18,18,12,39,22,none,1,30.69,0.032583904
12,8,2,20,12,15,20,3,38,27,gzip,1,12.31,0.081234768
6,3,87,6,15,10,13,46,54,16,none,1,30.05,0.03327787
7,11,39,13,19,5,4,42,22,19,snappy,1,29.55,0.033840948
6,7,80,6,7,6,4,41,59,88,gzip,1,13.29,0.075244545
19,24,49,15,12,19,19,2,13,33,lz4,1,22.27,0.044903458
20,18,19,2,14,13,13,7,35,32,none,1,29.74,0.033624748
1,2,4,15,14,12,27,48,5,94,lz4,1,11.14,0.089766607
8,8,6,14,5,3,30,1,38,23,gzip,1,13.26,0.075414781
5,16,28,1,4,8,24,14,3,74,none,1,15.73,0.063572791
11,5,89,1,2,20,4,43,49,18,none,1,20.48,0.048828125
5,19,32,13,6,1,12,45,19,53,lz4,1,26.22,0.038138825
2,12,90,17,13,1,19,37,41,74,none,1,28.42,0.035186488
1,15,29,6,12,18,1,25,37,98,snappy,1,26.04,0.038402458
11,23,39,2,3,18,21,40,47,69,gzip,1,15.12,0.066137566
15,10,69,3,12,15,22,21,55,67,gzip,1,12.61,0.079302141
20,3,51,14,19,9,17,37,50,9,none,1,31.15,0.032102729
15,4,86,18,4,5,25,7,40,88,gzip,1,11.34,0.088183422
12,22,36,9,12,15,4,27,4,24,gzip,1,15.05,0.066445183
