XX:MaxNewSize,Xms,Xmx,protocol,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount,enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,90th
128,256,256,org.apache.coyote.http11.Http11NioProtocol,8192,1000,25,500,50,50,FALSE,20000,TRUE,2048,7759.557188
64,128,128,org.apache.coyote.http11.Http11NioProtocol,4096,200,50,75,10,50,FALSE,20000,FALSE,2048,7501.5003
128,128,256,org.apache.coyote.http11.Http11AprProtocol,4096,500,25,250,10,200,TRUE,30000,FALSE,2048,7834.12545
256,128,512,org.apache.coyote.http11.Http11NioProtocol,16384,500,25,500,100,100,TRUE,20000,TRUE,2048,7447.495159
256,64,512,org.apache.coyote.http11.Http11AprProtocol,16384,200,25,75,100,50,FALSE,20000,TRUE,1024,8876.264868
256,256,512,org.apache.coyote.http11.Http11AprProtocol,4096,500,50,75,10,50,TRUE,10000,FALSE,1024,7482.789584
128,64,256,org.apache.coyote.http11.Http11AprProtocol,4096,1000,50,75,50,200,TRUE,20000,FALSE,2048,7618.467164
256,64,512,org.apache.coyote.http11.Http11Protocol,8192,500,25,250,100,200,TRUE,10000,FALSE,2048,6474.726982
256,256,512,org.apache.coyote.http11.Http11Protocol,4096,500,100,75,10,100,TRUE,20000,TRUE,2048,7639.030352
256,256,512,org.apache.coyote.http11.Http11AprProtocol,8192,200,50,75,10,50,TRUE,10000,FALSE,1024,7748.734373
256,128,512,org.apache.coyote.http11.Http11Protocol,4096,1000,100,75,100,50,TRUE,10000,TRUE,2048,7752.338622
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,200,25,75,100,200,FALSE,30000,TRUE,2048,7766.789209
256,64,512,org.apache.coyote.http11.Http11Protocol,8192,1000,25,500,10,200,TRUE,30000,FALSE,2048,7903.055848
256,64,512,org.apache.coyote.http11.Http11AprProtocol,16384,1000,25,75,100,100,FALSE,10000,FALSE,1024,8644.536653
64,64,128,org.apache.coyote.http11.Http11Protocol,16384,200,100,500,100,200,TRUE,30000,TRUE,2048,6535.378181
64,64,128,org.apache.coyote.http11.Http11AprProtocol,4096,500,100,250,100,50,TRUE,30000,TRUE,2048,7660.487207
128,128,256,org.apache.coyote.http11.Http11AprProtocol,16384,200,100,500,100,50,TRUE,30000,FALSE,2048,8493.771234
128,128,256,org.apache.coyote.http11.Http11Protocol,16384,500,50,250,10,100,FALSE,20000,FALSE,1024,6270.90301
256,256,512,org.apache.coyote.http11.Http11Protocol,8192,1000,50,75,50,200,TRUE,10000,TRUE,2048,7386.615453
64,128,128,org.apache.coyote.http11.Http11NioProtocol,8192,200,50,75,10,200,FALSE,20000,TRUE,1024,7444.168734
256,256,512,org.apache.coyote.http11.Http11Protocol,4096,1000,100,250,100,200,TRUE,20000,FALSE,2048,7664.40141
64,128,256,org.apache.coyote.http11.Http11Protocol,16384,500,50,75,10,200,FALSE,20000,FALSE,2048,8261.731659
64,128,256,org.apache.coyote.http11.Http11NioProtocol,4096,500,25,75,10,50,TRUE,10000,FALSE,2048,7664.793051
64,64,128,org.apache.coyote.http11.Http11Protocol,4096,500,50,500,100,50,FALSE,20000,FALSE,2048,7921.419518
128,256,256,org.apache.coyote.http11.Http11NioProtocol,16384,500,100,250,10,200,TRUE,30000,TRUE,2048,7943.232366
256,64,512,org.apache.coyote.http11.Http11Protocol,8192,1000,25,75,10,200,TRUE,30000,TRUE,2048,6507.874528
256,128,512,org.apache.coyote.http11.Http11NioProtocol,16384,500,25,500,50,200,FALSE,10000,TRUE,1024,7757.550683
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,200,25,75,10,50,TRUE,20000,FALSE,1024,8101.10175
128,128,256,org.apache.coyote.http11.Http11Protocol,16384,500,100,75,50,200,FALSE,10000,FALSE,2048,6699.120182
64,128,128,org.apache.coyote.http11.Http11Protocol,16384,500,25,75,10,200,FALSE,10000,FALSE,1024,7114.062129
64,128,256,org.apache.coyote.http11.Http11NioProtocol,4096,1000,100,250,50,50,FALSE,30000,FALSE,2048,8270.386503
256,256,512,org.apache.coyote.http11.Http11Protocol,16384,200,50,500,50,100,FALSE,20000,TRUE,1024,6238.043749
256,128,512,org.apache.coyote.http11.Http11AprProtocol,4096,1000,100,500,100,200,FALSE,20000,TRUE,1024,8387.385372
128,64,256,org.apache.coyote.http11.Http11Protocol,16384,200,25,250,100,50,TRUE,10000,FALSE,2048,7122.168938
128,128,256,org.apache.coyote.http11.Http11AprProtocol,4096,200,25,500,10,200,FALSE,10000,TRUE,1024,8210.180624
128,64,256,org.apache.coyote.http11.Http11Protocol,16384,500,100,500,100,100,TRUE,10000,TRUE,2048,8584.182214
64,64,128,org.apache.coyote.http11.Http11Protocol,16384,500,100,500,100,50,TRUE,30000,FALSE,2048,7417.297137
128,64,256,org.apache.coyote.http11.Http11Protocol,4096,500,25,250,100,50,TRUE,30000,FALSE,2048,8657.508946
128,64,256,org.apache.coyote.http11.Http11AprProtocol,4096,200,50,250,50,50,FALSE,20000,TRUE,1024,8269.018743
