repl-backlog-size,hash-max-ziplist-value,hash-max-ziplist-entries,list-max-ziplist-size,active-defrag-ignore-bytes,active-defrag-threshold-lower,hll-sparse-max-bytes,hz,requests per second
7,88,274,-1,258,11,14252,306,48309.18
3,93,407,-1,266,15,3522,293,30868.53
8,118,953,-3,224,15,2012,180,49504.95
7,61,901,-2,216,13,3021,496,48543.69
6,116,353,-5,250,18,3413,341,47169.81
3,46,806,-3,275,15,10127,440,43668.12
1,41,610,-1,140,19,8279,90,44642.86
4,83,956,-1,111,10,2105,109,37058.82
3,32,436,-1,224,7,10899,180,41322.31
2,80,535,-2,272,14,2249,56,41666.67
3,79,540,-2,281,16,8095,235,46728.97
2,38,336,-5,124,9,9823,372,48076.92
9,122,608,-3,168,6,6893,37,37059.76
4,49,676,-5,292,16,10927,231,47619.05
4,84,802,-2,189,13,11634,240,45662.1
5,48,466,-3,246,20,7661,351,43478.26
2,54,654,-3,249,20,9216,74,46948.36
7,103,982,-5,216,10,3943,135,37944.45
5,72,513,-2,148,20,7942,457,40816.32
7,101,718,-4,215,18,1887,463,45454.55
10,75,1005,-2,173,18,4617,320,46948.36
9,82,273,-4,248,6,11676,437,42918.46
4,60,722,-4,112,18,2636,435,46728.97
4,37,522,-4,275,13,867,486,40650.41
9,77,1004,-5,148,11,5297,70,49019.61
6,125,908,-1,154,17,132,485,41493.78
8,124,857,-1,165,15,7689,324,27111.11
10,63,778,-1,131,17,10457,496,31587.3
1,34,918,-5,181,14,8460,160,36250
1,63,444,-5,106,6,5013,276,44843.05
10,103,547,-3,129,14,7399,391,35820.72
5,76,410,-5,181,17,7650,199,41493.78
3,43,294,-4,134,9,2931,320,39559.52
5,74,993,-5,163,17,1329,45,39521.91
10,71,954,-3,102,20,6948,157,46511.63
8,104,768,-1,157,11,10414,39,46728.97
7,79,1006,-1,230,17,10337,308,45871.56
7,80,684,-2,264,19,13898,288,49261.09
6,103,480,-2,209,19,13186,172,49261.09
5,98,307,-3,249,19,163,347,41666.67
1,104,512,-4,129,9,7331,244,40983.61
7,91,568,-5,231,5,11167,438,46511.63
7,101,545,-2,141,16,6108,287,46082.95
4,66,667,-2,112,9,12963,112,42553.19
2,89,439,-5,292,20,14113,141,45454.55
5,42,573,-1,258,15,10926,371,46728.97
2,121,324,-3,232,14,455,79,46296.3
6,82,407,-4,215,12,397,359,35342.63
3,100,868,-3,124,9,9001,155,42918.46
10,51,671,-4,296,10,4664,219,47619.05
8,100,905,-2,208,9,2492,472,43859.65
6,84,316,-5,163,5,8574,448,43668.12
10,64,300,-4,188,8,7059,270,46511.63
5,53,395,-2,165,19,8487,383,47846.89
7,39,273,-1,157,6,8413,454,48309.18
10,70,384,-5,209,12,10679,29,46948.36
5,50,537,-4,285,12,9609,443,33098.43
6,117,288,-4,192,9,8690,102,46511.63
5,96,947,-3,120,11,12601,164,46728.97
7,51,971,-3,297,9,14797,325,40160.64
7,45,546,-2,250,20,8922,117,46296.3
4,81,961,-5,212,12,2303,384,43103.45
8,51,911,-4,176,8,13069,434,47619.05
7,73,491,-2,118,11,3946,10,41666.67
1,63,903,-3,291,8,14825,376,45871.56
10,95,762,-3,167,11,1280,357,44444.45
3,114,981,-4,222,19,10222,119,47619.05
8,78,338,-4,255,14,12107,242,45248.87
7,96,382,-3,152,10,6335,372,44444.45
8,109,787,-3,212,6,12593,243,26094.12
9,119,1019,-1,294,7,14703,477,43478.26
10,93,710,-3,181,5,5805,451,48543.69
7,88,885,-5,240,12,1991,396,43668.12
10,81,974,-3,224,9,5519,33,25313.73
8,77,656,-5,295,20,3648,450,32796.08
10,59,274,-2,249,9,11419,346,47393.37
9,41,290,-3,212,14,8127,242,46296.3
4,56,340,-2,179,13,412,368,48543.69
5,72,542,-5,179,12,3633,195,47169.81
8,86,443,-1,282,17,1806,103,44642.86
1,86,291,-4,151,14,14210,494,46948.36
3,94,470,-5,204,18,9958,484,47169.81
4,96,356,-3,212,19,6232,432,28819.61
5,120,727,-5,277,5,14735,119,46082.95
6,126,398,-4,158,7,6458,2,24507.87
7,92,258,-4,149,12,5480,251,45454.55
8,71,784,-4,253,17,12247,195,46296.3
2,109,560,-4,101,12,11817,241,23539.06
10,68,392,-3,269,10,10668,407,46511.63
10,57,274,-5,288,20,14606,154,40983.61
3,92,586,-3,284,10,11421,425,45248.87
10,112,775,-3,261,17,11039,443,48309.18
8,118,826,-2,143,20,11017,336,46728.97
8,114,588,-2,201,16,1001,328,46296.3
10,88,942,-5,134,14,6626,275,49019.61
4,106,706,-5,251,8,14282,416,46296.3
10,117,921,-1,227,14,8351,489,49261.09
4,53,290,-2,140,7,8525,376,48076.92
2,99,459,-2,286,6,13774,279,49261.09
1,114,542,-1,194,17,14257,96,47619.05
2,107,450,-5,155,18,778,319,44444.45
1,74,355,-4,253,10,5669,154,44642.86
10,47,273,-5,221,12,2345,162,44444.45
7,115,543,-4,213,16,6133,404,39247.02
4,57,630,-3,199,20,486,354,40816.32
7,80,820,-2,217,6,6674,65,43290.04
10,120,553,-1,159,8,7828,298,43478.26
7,56,776,-1,164,18,5361,86,47619.05
4,54,696,-4,166,15,844,401,46296.3
5,88,864,-3,284,18,3429,409,36527.56
