XX:MaxNewSize,Xms,Xmx,protocol,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount,enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,90th
128,128,256,org.apache.coyote.http11.Http11Protocol,4096,500,100,75,100,100,TRUE,30000,TRUE,2048,8285.919461
256,128,512,org.apache.coyote.http11.Http11Protocol,4096,200,50,75,100,50,TRUE,20000,TRUE,1024,7654.623393
512,512,512,org.apache.coyote.http11.Http11NioProtocol,8192,500,50,500,50,50,TRUE,10000,TRUE,1024,7976.601968
128,128,512,org.apache.coyote.http11.Http11NioProtocol,4096,500,25,75,10,100,FALSE,20000,TRUE,2048,7795.042353
128,256,512,org.apache.coyote.http11.Http11NioProtocol,8192,1000,25,250,100,50,FALSE,10000,TRUE,2048,7718.034474
128,128,512,org.apache.coyote.http11.Http11NioProtocol,16384,500,100,75,100,50,FALSE,20000,TRUE,1024,8459.282653
128,512,512,org.apache.coyote.http11.Http11AprProtocol,4096,1000,100,500,50,100,FALSE,20000,FALSE,1024,8539.2235
256,256,256,org.apache.coyote.http11.Http11NioProtocol,8192,200,25,75,100,50,TRUE,20000,TRUE,2048,7107.32054
256,128,512,org.apache.coyote.http11.Http11Protocol,8192,200,50,250,10,50,TRUE,10000,TRUE,2048,7623.500712
512,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,200,50,250,10,100,FALSE,20000,TRUE,2048,3239.950753
128,256,512,org.apache.coyote.http11.Http11NioProtocol,16384,1000,25,75,10,200,FALSE,10000,FALSE,2048,8037.723717
128,256,256,org.apache.coyote.http11.Http11NioProtocol,4096,1000,25,500,50,100,TRUE,30000,TRUE,1024,7196.660749
256,128,256,org.apache.coyote.http11.Http11Protocol,16384,200,100,75,10,50,TRUE,20000,FALSE,2048,1406.654413
256,256,256,org.apache.coyote.http11.Http11Protocol,4096,1000,25,250,100,50,TRUE,20000,FALSE,1024,7061.814416
512,512,512,org.apache.coyote.http11.Http11NioProtocol,8192,500,50,250,50,200,TRUE,10000,TRUE,1024,8204.791598
512,256,512,org.apache.coyote.http11.Http11AprProtocol,8192,200,25,500,100,200,TRUE,10000,TRUE,2048,2998.620635
256,128,256,org.apache.coyote.http11.Http11NioProtocol,8192,1000,100,75,50,100,FALSE,20000,FALSE,1024,1264.808803
128,128,128,org.apache.coyote.http11.Http11NioProtocol,8192,1000,25,500,100,100,TRUE,20000,TRUE,2048,5551.64884
512,512,512,org.apache.coyote.http11.Http11NioProtocol,16384,1000,100,500,50,200,FALSE,30000,FALSE,2048,8201.202843
512,512,512,org.apache.coyote.http11.Http11Protocol,8192,1000,100,250,50,100,FALSE,20000,TRUE,1024,6411.078343
128,128,256,org.apache.coyote.http11.Http11NioProtocol,8192,500,25,75,10,200,FALSE,30000,TRUE,2048,7750.335848
512,512,512,org.apache.coyote.http11.Http11AprProtocol,8192,200,100,250,10,200,FALSE,30000,TRUE,1024,9403.209629
256,128,256,org.apache.coyote.http11.Http11AprProtocol,4096,1000,100,250,100,100,FALSE,20000,TRUE,2048,1355.613596
128,128,128,org.apache.coyote.http11.Http11NioProtocol,4096,500,50,75,10,50,TRUE,10000,TRUE,2048,5628.940258
256,128,512,org.apache.coyote.http11.Http11NioProtocol,16384,1000,25,500,100,200,TRUE,30000,TRUE,2048,7913.479293
256,128,256,org.apache.coyote.http11.Http11Protocol,8192,1000,25,75,100,100,TRUE,10000,FALSE,1024,1264.638187
256,128,512,org.apache.coyote.http11.Http11Protocol,8192,1000,50,75,50,100,FALSE,20000,TRUE,2048,7935.668183
256,512,512,org.apache.coyote.http11.Http11AprProtocol,16384,200,50,500,50,200,TRUE,30000,FALSE,2048,7746.333402
256,256,512,org.apache.coyote.http11.Http11NioProtocol,4096,1000,50,500,50,50,FALSE,10000,FALSE,1024,8302.429844
128,256,512,org.apache.coyote.http11.Http11Protocol,16384,500,25,75,10,200,FALSE,10000,TRUE,1024,8284.089026
128,512,512,org.apache.coyote.http11.Http11Protocol,8192,1000,25,250,100,100,FALSE,10000,FALSE,1024,6820.662059
128,256,256,org.apache.coyote.http11.Http11NioProtocol,16384,200,50,500,50,50,TRUE,30000,FALSE,2048,8532.908584
128,128,128,org.apache.coyote.http11.Http11AprProtocol,8192,500,25,75,50,50,FALSE,30000,FALSE,2048,6898.454746
256,256,512,org.apache.coyote.http11.Http11Protocol,4096,200,25,250,10,100,FALSE,10000,TRUE,1024,7991.050024
512,512,512,org.apache.coyote.http11.Http11AprProtocol,4096,200,25,250,100,200,TRUE,10000,TRUE,1024,7594.552175
256,128,256,org.apache.coyote.http11.Http11NioProtocol,4096,500,25,250,100,200,TRUE,30000,FALSE,1024,1356.103823
128,256,256,org.apache.coyote.http11.Http11NioProtocol,16384,1000,25,75,50,100,FALSE,10000,FALSE,2048,8246.28917
256,256,256,org.apache.coyote.http11.Http11NioProtocol,8192,500,50,250,50,100,TRUE,30000,FALSE,1024,7276.255154
512,512,512,org.apache.coyote.http11.Http11AprProtocol,4096,200,25,75,50,200,TRUE,10000,TRUE,1024,8340.28357
128,256,256,org.apache.coyote.http11.Http11NioProtocol,16384,500,25,250,100,50,FALSE,10000,TRUE,2048,7556.675063
128,512,512,org.apache.coyote.http11.Http11AprProtocol,8192,1000,25,75,50,200,FALSE,20000,TRUE,1024,8937.082936
128,128,256,org.apache.coyote.http11.Http11AprProtocol,16384,200,50,250,50,200,TRUE,20000,TRUE,1024,7688.364941
128,128,512,org.apache.coyote.http11.Http11Protocol,4096,1000,100,250,100,50,FALSE,20000,TRUE,2048,7454.527383
256,128,512,org.apache.coyote.http11.Http11Protocol,8192,500,25,500,100,100,FALSE,20000,TRUE,2048,8414.203175
256,256,512,org.apache.coyote.http11.Http11Protocol,16384,500,50,500,10,100,FALSE,30000,TRUE,2048,6816.322821
256,512,512,org.apache.coyote.http11.Http11NioProtocol,8192,200,50,250,50,200,TRUE,30000,TRUE,1024,7718.431615
128,128,256,org.apache.coyote.http11.Http11Protocol,4096,500,25,500,10,100,TRUE,30000,TRUE,1024,6490.977541
256,256,512,org.apache.coyote.http11.Http11AprProtocol,16384,1000,25,75,50,100,TRUE,30000,FALSE,1024,8160.156675
256,128,512,org.apache.coyote.http11.Http11NioProtocol,4096,1000,50,500,100,100,FALSE,10000,FALSE,2048,7829.218644
256,256,256,org.apache.coyote.http11.Http11Protocol,4096,500,50,75,50,200,TRUE,20000,FALSE,1024,6740.361283
128,256,512,org.apache.coyote.http11.Http11NioProtocol,16384,500,25,75,100,50,TRUE,10000,FALSE,2048,7385.16075
128,128,128,org.apache.coyote.http11.Http11NioProtocol,8192,1000,50,500,100,50,TRUE,10000,FALSE,1024,5616.084466
128,128,512,org.apache.coyote.http11.Http11AprProtocol,16384,200,100,250,100,200,FALSE,20000,TRUE,2048,9238.728751
128,512,512,org.apache.coyote.http11.Http11Protocol,16384,200,100,250,50,200,FALSE,30000,TRUE,1024,6695.830729
128,128,128,org.apache.coyote.http11.Http11AprProtocol,4096,1000,100,75,50,50,FALSE,30000,FALSE,2048,6834.024329
512,512,512,org.apache.coyote.http11.Http11NioProtocol,16384,200,50,500,100,200,TRUE,20000,TRUE,2048,7741.535921
256,512,512,org.apache.coyote.http11.Http11AprProtocol,16384,1000,25,75,10,100,FALSE,30000,TRUE,1024,9584.664537
256,512,512,org.apache.coyote.http11.Http11Protocol,16384,500,100,500,100,200,FALSE,10000,FALSE,2048,7157.854552
128,256,512,org.apache.coyote.http11.Http11NioProtocol,8192,1000,50,500,10,50,FALSE,20000,TRUE,1024,8161.044614
256,512,512,org.apache.coyote.http11.Http11NioProtocol,8192,200,25,250,10,100,TRUE,10000,TRUE,2048,7984.244424
128,128,256,org.apache.coyote.http11.Http11NioProtocol,4096,200,50,250,10,100,FALSE,20000,TRUE,2048,7837.809593
256,256,256,org.apache.coyote.http11.Http11NioProtocol,16384,1000,50,500,50,50,TRUE,20000,FALSE,1024,7446.755697
256,256,512,org.apache.coyote.http11.Http11NioProtocol,8192,1000,50,250,10,200,FALSE,30000,TRUE,2048,7997.440819
128,256,512,org.apache.coyote.http11.Http11NioProtocol,16384,1000,25,500,10,100,TRUE,20000,FALSE,2048,7278.373526
512,256,512,org.apache.coyote.http11.Http11NioProtocol,16384,200,50,250,10,50,TRUE,30000,FALSE,2048,1428.666673
256,128,512,org.apache.coyote.http11.Http11Protocol,16384,1000,100,75,100,200,TRUE,30000,FALSE,2048,7101.264025
512,512,512,org.apache.coyote.http11.Http11Protocol,8192,500,25,250,10,50,FALSE,30000,FALSE,2048,8125.67714
128,256,256,org.apache.coyote.http11.Http11NioProtocol,4096,1000,50,250,100,100,FALSE,30000,TRUE,1024,7609.191904
256,512,512,org.apache.coyote.http11.Http11Protocol,8192,200,25,500,10,100,TRUE,30000,FALSE,1024,6751.890529
256,128,512,org.apache.coyote.http11.Http11Protocol,8192,200,25,500,50,50,TRUE,30000,FALSE,2048,7231.006556
128,256,256,org.apache.coyote.http11.Http11AprProtocol,8192,500,100,75,10,50,FALSE,30000,FALSE,2048,8599.931201
128,128,256,org.apache.coyote.http11.Http11Protocol,16384,500,50,500,10,50,TRUE,20000,FALSE,2048,8041.170794
128,128,128,org.apache.coyote.http11.Http11AprProtocol,4096,1000,25,75,10,50,FALSE,10000,TRUE,1024,6954.102921
256,128,256,org.apache.coyote.http11.Http11NioProtocol,8192,1000,25,250,100,100,TRUE,20000,FALSE,1024,1260.292388
512,256,512,org.apache.coyote.http11.Http11Protocol,16384,500,100,500,100,50,FALSE,30000,TRUE,2048,1946.939411
256,128,512,org.apache.coyote.http11.Http11AprProtocol,8192,200,50,500,50,200,FALSE,10000,FALSE,2048,8643.042351
256,256,256,org.apache.coyote.http11.Http11NioProtocol,8192,200,25,250,100,50,TRUE,20000,FALSE,1024,6772.926356
128,128,512,org.apache.coyote.http11.Http11NioProtocol,4096,200,100,500,100,50,FALSE,20000,TRUE,2048,8024.394158
256,256,512,org.apache.coyote.http11.Http11Protocol,4096,1000,100,75,100,100,FALSE,20000,FALSE,1024,7000.186672
256,256,256,org.apache.coyote.http11.Http11Protocol,4096,200,50,500,50,100,TRUE,20000,TRUE,1024,6089.886728
128,256,512,org.apache.coyote.http11.Http11Protocol,16384,500,25,500,100,100,TRUE,20000,FALSE,2048,7640.976007
512,512,512,org.apache.coyote.http11.Http11AprProtocol,4096,200,25,75,100,50,FALSE,30000,TRUE,2048,8517.887564
256,512,512,org.apache.coyote.http11.Http11NioProtocol,8192,1000,25,75,100,200,TRUE,20000,FALSE,2048,7251.28106
128,256,512,org.apache.coyote.http11.Http11Protocol,8192,200,100,75,50,100,TRUE,10000,TRUE,1024,6240.379415
128,256,256,org.apache.coyote.http11.Http11Protocol,16384,200,50,75,10,200,FALSE,30000,TRUE,2048,6386.783616
512,512,512,org.apache.coyote.http11.Http11AprProtocol,4096,1000,50,250,10,200,TRUE,30000,FALSE,2048,7405.944505
128,512,512,org.apache.coyote.http11.Http11NioProtocol,4096,200,100,75,50,100,FALSE,30000,FALSE,1024,7711.685775
128,128,256,org.apache.coyote.http11.Http11AprProtocol,4096,500,50,75,50,200,TRUE,10000,TRUE,1024,7550.969041
128,512,512,org.apache.coyote.http11.Http11AprProtocol,4096,1000,25,250,10,50,TRUE,10000,FALSE,2048,7784.928379
256,128,256,org.apache.coyote.http11.Http11Protocol,16384,500,50,250,50,50,TRUE,20000,TRUE,2048,1265.278235
256,512,512,org.apache.coyote.http11.Http11Protocol,8192,500,100,75,10,50,TRUE,10000,FALSE,2048,7712.478791
128,128,512,org.apache.coyote.http11.Http11NioProtocol,4096,200,100,500,50,50,TRUE,20000,FALSE,2048,8186.432353
256,256,256,org.apache.coyote.http11.Http11AprProtocol,8192,500,100,250,100,50,TRUE,20000,TRUE,2048,7074.136955
512,128,512,org.apache.coyote.http11.Http11Protocol,4096,1000,100,250,50,100,FALSE,10000,TRUE,2048,1265.054144
512,256,512,org.apache.coyote.http11.Http11NioProtocol,4096,1000,25,500,10,200,FALSE,10000,FALSE,2048,2555.148624
128,512,512,org.apache.coyote.http11.Http11Protocol,16384,1000,50,250,10,100,FALSE,10000,FALSE,1024,6935.133386
128,128,128,org.apache.coyote.http11.Http11AprProtocol,8192,500,25,250,10,100,FALSE,30000,TRUE,2048,6304.640215
256,512,512,org.apache.coyote.http11.Http11Protocol,16384,1000,50,250,10,100,TRUE,10000,FALSE,2048,7244.626902
128,128,512,org.apache.coyote.http11.Http11Protocol,16384,500,100,500,100,200,TRUE,30000,TRUE,1024,7541.47813
512,256,512,org.apache.coyote.http11.Http11NioProtocol,4096,200,50,75,50,50,FALSE,10000,TRUE,2048,2477.741621
