sort_buffer_size,join_buffer_size,table_open_cache,thread_cache_size,query_cache_limit,max_allowed_packet,max_connect_errors,tmp_table_size,max_heap_table_size,innodb_autoextend_increment,innodb_buffer_pool_size,innodb_additional_mem_pool_size,innodb_log_buffer_size,QPS
2286.816766,1267.757745,1844.753909,79.97493472,2.011989103,8.891335658,1525.984539,119.7773139,54.57586271,30.69353989,4.323486998,10.87503779,27.7406455,8368.12
3558.65694,786.8301089,1911.52887,108.6843841,1.26015817,5.252106741,1802.967855,49.85628794,46.59525864,162.510335,2.313423156,5.730158064,9.042759321,8515.73
1676.052193,1018.760918,1372.415134,105.4946489,1.722123443,15.7316963,784.192004,58.3213728,2.018670365,73.1134175,7.23195617,4.812467801,22.35240903,7732.55
1696.139595,417.9908354,1034.281381,116.2631905,1.151992241,8.635359535,186.6729408,79.55399557,80.82064756,297.0093655,2.776917916,13.58856018,4.435021374,8945.96
3958.029124,1209.022221,433.6537893,96.47459244,3.196326256,14.03208257,629.0395857,101.4009862,30.94199431,59.19857768,3.641429821,2.571879094,28.59405851,8795.32
139.6850538,141.122362,1199.39196,46.66490925,1.455275596,16.38312798,1396.664888,17.02827429,60.25473678,395.3059297,0.852827305,2.923925255,14.47386767,7834.94
3631.176941,1531.321099,1042.28643,26.76034535,1.081448981,12.01360027,1993.581808,127.2459289,108.3092383,226.0723537,1.619391569,1.999724968,25.74651328,7678.67
1485.952699,439.0830452,1149.363242,124.1432709,3.27540175,14.69105872,555.1207597,55.77111309,82.06803658,333.8542598,6.079358628,17.72867154,32.72083303,8472.89
2195.996976,1451.114345,1779.262298,14.30407385,1.720324648,9.241807462,1295.486074,42.44854215,35.72439206,421.8630018,2.466889603,3.236231462,12.11443375,7749.74
1347.007263,1511.680298,571.1184657,94.44812554,2.594586352,6.927771004,1079.461158,26.00447807,85.84115081,202.4655912,3.419769361,13.32318619,15.14953032,7888.81
716.2134539,1843.001944,887.104681,8.461653175,3.367639426,14.46897342,904.7767607,47.17481375,88.05566683,72.13045422,5.266848522,17.44804745,31.00745155,7713.61
1175.186567,1772.860904,386.0808642,28.73523638,2.273024863,5.789481599,479.0436689,50.3373111,57.58242247,118.5184161,5.062413533,17.11372655,27.6676564,8074.41
3303.746987,1814.067449,371.9156044,87.92035743,3.951881289,13.94120644,1237.465204,78.62939604,110.918251,369.2824163,3.250905364,3.410850166,26.96803632,7868.08
3149.631859,1315.89167,1866.737622,99.66329418,1.289584228,10.8239291,950.1661114,62.7914089,4.033565164,328.4347741,3.664589875,18.54757521,11.81201377,7849.37
