Protocol, MaxNewSize,Xms, Xmx ,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount, enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,90th
org.apache.coyote.http11.Http13NioProtocol,64,128,512,16384,200,100,75,50,200,FALSE,30000,TRUE,2048,9604.917718
org.apache.coyote.http11.Http11AprProtocol,256,256,512,16384,500,100,75,100,200,TRUE,20000,FALSE,2048,9584.052137
org.apache.coyote.http11.Http11AprProtocol,256,128,256,16384,1000,25,250,10,100,TRUE,30000,FALSE,2048,9581.603322
org.apache.coyote.http11.Http11NioProtocol,128,64,128,8192,500,50,250,10,100,FALSE,10000,TRUE,2048,9577.932444
org.apache.coyote.http11.Http11Protocol,128,128,128,8192,200,25,250,50,200,1.31701,20000,FALSE,1024,9577.932444
org.apache.coyote.http11.Http13NioProtocol,64,256,256,8192,500,25,75,50,200,FALSE,30000,TRUE,2048,9575.486754
org.apache.coyote.http11.Http13NioProtocol,64,256,256,8192,500,25,75,50,200,FALSE,30000,TRUE,2048,9575.486754
org.apache.coyote.http11.Http11Protocol,128,256,256,8192,200,25,250,50,200,TRUE,20000,TRUE,2048,9554.74871
org.apache.coyote.http11.Http11Protocol,256,256,256,16384,1000,100,250,100,50,FALSE,10000,FALSE,1024,9549.274255
org.apache.coyote.http11.Http11Protocol,256,256,256,16384,1000,100,250,100,50,FALSE,10000,FALSE,1024,9549.274255
org.apache.coyote.http11.Http11Protocol,256,256,256,16384,1000,100,75,100,50,FALSE,10000,FALSE,1024,9542.591768
org.apache.coyote.http11.Http11Protocol,256,256,256,16384,1000,100,75,100,50,FALSE,10000,FALSE,1024,9542.591768
org.apache.coyote.http11.Http13NioProtocol,64,128,512,8192,200,25,250,100,100,TRUE,20000,TRUE,2048,9535.31244
org.apache.coyote.http11.Http13NioProtocol,64,128,512,8192,200,25,250,100,100,TRUE,20000,TRUE,2048,9535.31244
org.apache.coyote.http11.Http11AprProtocol,64,256,128,8192,200,100,500,100,100,FALSE,10000,FALSE,2048,9525.623928
org.apache.coyote.http11.Http11Protocol,64,256,128,8192,1000,25,250,10,50,TRUE,10000,TRUE,1024,9522.600305
org.apache.coyote.http11.Http11Protocol,64,256,128,8192,1000,25,250,10,50,TRUE,10000,TRUE,1024,9522.600305
org.apache.coyote.http11.Http11NioProtocol,64,256,512,8192,1000,50,500,10,200,TRUE,30000,FALSE,2048,9520.787052
org.apache.coyote.http11.Http11AprProtocol,256,128,256,4096,500,100,75,10,50,TRUE,10000,TRUE,1024,9509.319133
org.apache.coyote.http11.Http13NioProtocol,64,128,512,16384,200,100,75,50,200,FALSE,30000,TRUE,2048,9496.676163
org.apache.coyote.http11.Http13NioProtocol,64,128,512,16384,200,100,75,50,200,FALSE,30000,TRUE,2048,9496.676163
org.apache.coyote.http11.Http11Protocol,256,256,256,16384,1000,100,75,100,50,FALSE,10000,FALSE,1024,9488.866397
org.apache.coyote.http11.Http11AprProtocol,256,128,128,4096,1000,50,250,10,200,TRUE,20000,FALSE,1024,9487.065967
org.apache.coyote.http11.Http11AprProtocol,256,128,128,4096,1000,50,250,10,200,TRUE,20000,FALSE,1024,9487.065967
org.apache.coyote.http11.Http11AprProtocol,256,128,256,4096,1000,50,250,10,200,TRUE,20000,FALSE,1024,9467.306236
org.apache.coyote.http11.Http11AprProtocol,256,128,256,4096,1000,50,250,10,200,TRUE,20000,FALSE,1024,9467.306236
org.apache.coyote.http11.Http11AprProtocol,128,64,128,4096,200,50,500,10,200,FALSE,30000,FALSE,2048,9464.319515
org.apache.coyote.http11.Http11AprProtocol,64,256,128,8192,200,100,500,100,100,FALSE,10000,FALSE,2048,9461.334679
org.apache.coyote.http11.Http11AprProtocol,256,128,256,4096,500,100,75,10,50,TRUE,10000,TRUE,1024,9455.370651
org.apache.coyote.http11.Http11Protocol,64,64,256,4096,200,100,500,10,50,TRUE,10000,TRUE,1024,9450.00945
org.apache.coyote.http11.Http11Protocol,64,64,256,4096,200,100,500,10,50,TRUE,10000,TRUE,1024,9450.00945
org.apache.coyote.http11.Http11AprProtocol,128,256,128,4096,200,50,75,100,50,TRUE,10000,FALSE,1024,9445.24904
org.apache.coyote.http11.Http13NioProtocol,64,128,512,8192,1000,100,250,50,50,FALSE,30000,TRUE,2048,9436.929852
org.apache.coyote.http11.Http11Protocol,128,64,128,16384,500,50,75,10,200,TRUE,30000,FALSE,1024,9428.032684
org.apache.coyote.http11.Http11AprProtocol,64,128,256,16384,1000,25,250,100,100,TRUE,10000,TRUE,1024,9417.969486
org.apache.coyote.http11.Http11AprProtocol,64,128,256,16384,1000,25,250,100,100,TRUE,10000,TRUE,1024,9417.969486
org.apache.coyote.http11.Http13NioProtocol,64,64,256,8192,500,50,500,50,100,TRUE,20000,FALSE,2048,9415.013809
org.apache.coyote.http11.Http11AprProtocol,256,256,512,16384,200,50,75,10,50,FALSE,20000,FALSE,1024,9396.141318
org.apache.coyote.http11.Http11AprProtocol,256,256,512,16384,200,50,75,10,50,FALSE,20000,FALSE,1024,9396.141318
org.apache.coyote.http11.Http13NioProtocol,256,256,128,4096,200,25,250,100,100,TRUE,10000,FALSE,2048,9391.435011
org.apache.coyote.http11.Http11AprProtocol,256,128,256,16384,1000,25,250,10,100,TRUE,30000,FALSE,2048,9391.435011
org.apache.coyote.http11.Http11AprProtocol,256,128,256,16384,1000,25,250,10,100,TRUE,30000,FALSE,2048,9391.435011
org.apache.coyote.http11.Http13NioProtocol,64,256,256,8192,500,25,75,50,200,FALSE,30000,TRUE,2048,9382.623381
org.apache.coyote.http11.Http11AprProtocol,256,128,256,16384,1000,25,250,10,100,TRUE,30000,FALSE,2048,9365.634366
org.apache.coyote.http11.Http11Protocol,128,256,256,8192,200,25,250,50,200,TRUE,20000,TRUE,2048,9356.287425
org.apache.coyote.http11.Http11Protocol,128,256,256,8192,200,25,250,50,200,TRUE,20000,TRUE,2048,9356.287425
org.apache.coyote.http11.Http11Protocol,128,64,128,16384,500,50,75,10,200,TRUE,30000,FALSE,1024,9345.212136
org.apache.coyote.http11.Http11AprProtocol,64,128,256,16384,1000,25,250,100,100,TRUE,10000,TRUE,1024,9340.556697
org.apache.coyote.http11.Http11AprProtocol,64,128,256,16384,1000,25,250,100,100,TRUE,10000,TRUE,1024,9340.556697
org.apache.coyote.http11.Http11Protocol,128,128,512,16384,1000,50,75,50,200,FALSE,20000,FALSE,1024,9339.393562
org.apache.coyote.http11.Http13NioProtocol,128,256,128,4096,1000,25,75,50,200,FALSE,20000,FALSE,2048,9332.42083
org.apache.coyote.http11.Http13NioProtocol,128,256,128,8192,200,100,500,100,100,FALSE,30000,TRUE,1024,9331.25972
org.apache.coyote.http11.Http11NioProtocol,256,128,256,4096,1000,25,75,50,100,TRUE,30000,TRUE,2048,9326.618168
org.apache.coyote.http11.Http11Protocol,128,64,128,16384,1000,50,75,10,200,TRUE,30000,FALSE,1024,9312.143035
org.apache.coyote.http11.Http11AprProtocol,256,128,256,16384,1000,25,250,10,100,TRUE,30000,FALSE,2048,9302.325581
org.apache.coyote.http11.Http11AprProtocol,256,128,256,16384,1000,25,250,10,100,TRUE,30000,FALSE,2048,9302.325581
org.apache.coyote.http11.Http11AprProtocol,64,128,256,4096,500,100,500,50,100,TRUE,30000,TRUE,2048,9286.775632
