innodb_log_buffer_size,innodb_additional_mem_pool_size,max_allowed_packet numeric,innodb_buffer_pool_size,thread_cache_size,max_connect_errors,tmp_table_size,join_buffer_size,max_heap_table_size,innodb_autoextend_increment,table_open_cache,query_cache_limit,sort_buffer_size,QPS
30074,18123,11494,4436,67,1170,16069,559,34713,404041,1784,1635,3869,814540
31099,6783,2742,5080,126,1215,46285,666,120404,92329,1381,1119,1002,799840
31286,5347,9144,2677,111,890,17379,1460,7161,475645,436,1124,229,794860
4532,18915,6605,5159,13,1618,21249,1694,90899,128702,874,2863,3972,800460
4317,14245,10127,2192,80,898,97870,441,58868,177590,243,2451,2583,770120
4668,1519,2211,7121,107,735,94493,561,39536,296761,1114,2184,837,796240
5588,9481,6810,6139,103,145,76235,1044,111830,390619,705,2560,1661,705560
3552,18790,6632,5216,12,1595,22049,1692,93436,127347,926,2807,3897,858280
4401,14067,10135,2297,84,931,95990,434,58631,176991,258,2432,2628,850996
4797,1668,1450,7044,108,755,95101,495,39064,292264,1114,2163,854,801400
5897,9455,6949,6050,106,137,74682,1077,111743,394687,668,2600,1714,771300
6681,1634,8411,5782,83,585,78349,1227,81016,378541,522,1394,3803,738320
7268,16735,7812,1681,62,497,39707,1901,116371,108771,1922,2697,2757,787780
7441,3490,1883,4115,86,337,70652,1937,44680,59882,424,1511,3219,712680
8576,16138,12626,8048,109,842,116692,1403,49999,469683,962,1972,2086,726520
9145,15817,2935,6769,43,1716,107015,1312,84932,434703,2008,2179,3560,760480
9832,11484,4582,445,35,1169,100296,1522,31322,15795,1521,2132,490,765760
10609,2703,13748,1474,102,1951,121176,517,105768,228266,701,2359,4015,786760
11531,15012,2319,1902,73,1063,74100,899,101001,20150,566,1046,3400,775840
10693,2656,13489,1674,101,1887,119882,469,103600,228698,753,2390,3923,702300
11084,14936,2404,1907,75,1088,73443,900,101418,26507,543,1381,3477,760700
12421,13286,10995,7260,56,132,26294,1160,67600,353091,1249,1085,1355,756480
12863,3943,9929,3414,91,301,114280,378,71821,497579,1252,1772,1795,759860
13425,17403,3329,6625,7,1738,111380,1323,20929,137334,995,1354,1248,706120
14577,10915,4057,4315,63,953,24921,709,41044,200935,1097,1170,3097,736900
14878,13778,14077,3273,43,1125,52136,295,9900,371381,1801,1473,1656,810260
