num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,acks,T,1/T
14,23,96,13,18,1,6,22,39,66,lz4,1,29.12,0.034340659
3,3,8,3,6,9,6,47,51,74,snappy,1,25.78,0.03878976
15,3,75,6,18,19,8,43,38,63,snappy,1,28.74,0.034794711
9,21,59,17,19,2,8,9,40,6,none,1,28.96,0.034530387
6,14,1,11,14,2,9,12,53,76,none,1,28.56,0.035014006
19,20,56,3,9,8,10,44,51,30,none,1,28.61,0.034952814
16,8,48,7,11,13,11,1,32,92,gzip,1,12.79,0.078186083
14,6,53,6,3,5,11,3,10,51,gzip,1,15.92,0.06281407
1,3,4,6,15,19,12,41,14,69,gzip,1,14.87,0.067249496
9,2,64,13,1,15,12,25,57,13,snappy,1,14.88,0.067204301
5,6,20,15,4,3,13,29,3,34,none,1,16.41,0.060938452
2,9,93,1,15,10,14,36,62,86,lz4,1,28.41,0.035198874
1,19,25,12,8,6,14,25,31,59,gzip,1,12.15,0.082304527
12,10,99,8,1,7,16,39,24,17,snappy,1,14.25,0.070175439
7,21,85,18,6,18,16,23,58,97,gzip,1,14.38,0.069541029
11,22,72,17,5,8,17,15,60,43,none,1,25.23,0.039635355
4,7,27,17,3,17,17,14,44,15,lz4,1,20.24,0.049407115
18,12,70,7,14,11,18,16,11,8,gzip,1,12.22,0.081833061
10,19,82,2,16,18,19,35,46,96,none,1,29.25,0.034188034
17,14,74,11,13,10,20,43,63,93,gzip,1,13.91,0.071890726
10,1,90,4,7,4,21,32,17,61,gzip,1,15.26,0.065530799
4,13,18,10,9,12,21,4,6,84,snappy,1,13.67,0.07315289
9,16,39,10,2,4,22,31,20,55,none,1,19.82,0.050454087
16,18,61,2,5,15,23,3,48,12,none,1,22.98,0.043516101
14,10,79,14,7,1,23,40,30,49,lz4,1,27,0.037037037
15,1,47,12,12,9,24,27,25,45,lz4,1,21.46,0.046598322
19,6,14,19,8,3,25,8,47,1,snappy,1,25.59,0.039077765
13,20,81,16,11,16,25,45,19,35,lz4,1,26.96,0.037091988
19,22,37,4,17,11,27,13,28,21,gzip,1,10.87,0.09199632
11,8,32,4,7,4,27,6,42,22,lz4,1,22.88,0.043706294
8,5,11,8,16,7,28,38,26,3,snappy,1,27.25,0.036697248
2,11,33,13,10,14,28,17,34,79,gzip,1,14.12,0.07082153
17,12,66,19,1,16,29,21,8,89,lz4,1,13.74,0.072780204
4,14,29,1,17,5,1,19,36,39,none,1,27.27,0.036670334
7,16,7,14,12,16,2,31,2,26,none,1,15.76,0.063451777
5,15,88,9,19,7,2,8,22,41,snappy,1,27.6,0.036231884
3,4,40,5,4,17,3,11,5,54,snappy,1,10.81,0.092506938
13,17,21,9,13,14,4,20,55,70,lz4,1,26.29,0.038037277
12,9,52,18,10,12,5,34,12,81,snappy,1,24.96,0.040064103
7,17,43,15,15,12,6,29,16,29,lz4,1,23.43,0.042680324
14,23,95,14,18,1,6,22,40,65,lz4,1,27.81,0.035958288
3,4,9,3,5,9,6,47,50,74,snappy,1,24.25,0.041237113
15,3,76,6,18,19,7,43,38,62,snappy,1,27.51,0.036350418
9,22,60,17,19,2,8,10,41,6,none,1,28.24,0.035410765
6,14,2,11,14,2,9,12,53,75,none,1,27.2,0.036764706
18,20,57,3,9,8,9,44,51,32,none,1,27.63,0.036192544
16,8,49,8,11,13,11,1,33,90,gzip,1,13.94,0.071736011
15,5,53,6,3,5,11,2,10,51,gzip,1,13.8,0.072463768
1,3,4,5,15,19,12,41,14,69,gzip,1,14.9,0.067114094
9,2,64,13,1,15,12,26,56,13,snappy,1,14.8,0.067567568
5,6,20,15,4,2,13,28,2,34,none,1,16.72,0.059808612
2,9,93,1,16,10,14,37,61,87,lz4,1,28.56,0.035014006
1,19,25,12,8,6,15,25,31,59,gzip,1,12.12,0.082508251
12,10,99,8,2,7,15,39,24,19,snappy,1,19.52,0.051229508
7,21,87,18,6,18,16,23,58,98,gzip,1,13.49,0.074128984
11,22,71,16,5,8,17,15,60,44,none,1,25.53,0.039169604
4,7,26,17,3,17,17,13,44,16,lz4,1,21.12,0.047348485
18,11,68,7,14,11,18,16,10,8,gzip,1,12.22,0.081833061
10,18,83,1,16,19,19,35,46,95,none,1,28.17,0.035498758
17,15,75,11,13,10,20,42,62,93,gzip,1,10.66,0.09380863
10,1,90,4,7,3,21,33,16,62,gzip,1,14.89,0.067159167
3,13,17,10,9,12,21,5,5,84,snappy,1,12.62,0.079239303
8,16,39,10,2,4,22,31,20,55,none,1,20.12,0.049701789
16,18,62,2,5,15,23,3,49,10,none,1,22.49,0.044464206
13,11,77,14,7,1,23,40,29,49,lz4,1,26.33,0.037979491
15,1,47,12,12,9,24,27,25,47,lz4,1,21.91,0.04564126
19,7,14,19,8,3,25,8,47,0,snappy,1,24.62,0.040617384
12,21,80,16,11,16,25,46,18,36,lz4,1,26.76,0.037369208
19,23,36,3,17,11,26,13,28,20,gzip,1,9.67,0.103412616
11,8,31,5,8,5,27,6,43,22,lz4,1,23.86,0.041911148
