list-max-ziplist-size,hz,hash-max-ziplist-entries,hll-sparse,repl-backlog,hash-max-ziplist-value,active-defrag-threshold,active-defrag-ignore,requests per second
-3,267,315,12800,5,76,15,255,27027.03
-3,238,532,2359,6,100,7,195,30303.03
-3,57,736,10626,0,68,19,138,36764.7
-3,29,757,5209,7,84,12,179,46511.63
-3,42,684,8187,6,70,10,261,27548.21
-2,475,647,11183,10,110,11,228,45871.56
-2,178,673,13509,7,82,20,187,39215.69
-2,319,431,6339,8,105,16,242,36231.89
-2,206,918,1201,8,42,6,122,46511.63
-2,190,1021,3543,1,40,17,213,49504.95
-2,450,979,10371,9,53,12,295,47393.37
-2,120,620,2633,6,63,16,245,39525.69
-2,432,596,5537,2,33,6,215,47393.37
-2,369,788,9550,3,66,6,253,42372.88
-2,469,883,6947,8,34,5,172,35842.29
-1,6,864,8846,4,121,9,104,32051.28
-1,258,292,11648,4,102,19,109,31545.74
-1,342,826,5656,5,62,15,99,33112.59
-1,173,849,1711,1,72,11,275,33783.79
-1,98,566,4178,4,89,10,124,43290.04
-1,394,709,13200,3,51,7,163,47846.89
-1,405,353,3105,5,92,14,156,46296.3
-1,442,462,2061,9,119,17,267,45454.55
-1,278,502,4829,2,86,8,272,27247.96
-1,329,730,14117,7,46,10,178,44642.86
-4,129,473,7841,7,95,9,222,46948.36
-4,213,506,7233,4,124,19,133,36630.04
-4,497,378,9899,1,37,14,150,34602.07
-4,13,802,3849,3,112,11,143,47169.81
-4,63,896,6399,10,107,16,115,45871.56
-4,108,261,1045,3,96,13,145,45248.87
-4,360,992,632,2,44,4,286,47169.81
-4,413,932,8482,2,114,13,165,32894.74
-4,302,421,9252,5,56,7,281,37037.04
-4,297,957,14871,9,127,8,233,25445.29
-3,138,623,12501,0,117,12,292,28169.02
-3,375,309,193,6,49,18,204,37878.79
-3,157,547,14387,8,59,18,192,46082.95
-3,232,392,11453,8,80,15,235,40322.58
-3,84,336,12012,1,78,5,201,45662.1
-3,274,317,13048,5,75,15,256,38759.69
-3,241,524,2464,6,100,7,195,36363.64
-3,51,753,10682,0,68,19,137,40485.83
-3,28,770,4983,7,86,12,184,40983.61
-3,44,680,8013,6,70,10,262,37878.79
-2,483,652,11204,10,110,11,229,39062.5
-2,185,674,13725,7,82,20,188,41841
-2,312,430,6159,8,105,16,240,46948.36
-2,210,910,1324,8,42,6,122,29940.12
-2,188,1022,3616,1,40,18,211,29940.12
-2,450,969,10495,9,54,12,298,35587.19
-2,113,618,2924,6,63,16,246,29940.12
-2,425,599,5432,2,31,6,214,50505.05
-2,373,777,9692,3,67,6,252,40000
-2,466,887,7090,8,33,5,170,43478.26
-1,11,855,8731,4,121,9,106,42372.88
-1,253,291,11679,4,102,20,111,45248.87
-1,337,823,5697,5,61,15,103,45871.56
